"product_id","community_id"
"HAO6760939972086","29854"
"QQM1689763967254","49865"
"AUC9489428959434","28434"
"FAF1694969097585","35448"
"WOV6054091148060","6893"
"OVO7300777473681","41813"
"KIM1689737688133","9175"
"OVO3602028399455","17114"
"VID8720845734060","45391"
"AUC6417961398482","45933"
"YES7605723698317","49323"
"VGE1698821830953","11221"
"OVO7300777520590","45933"
"AUC9473563538142","14680"
"ATY1698790235702","4505"
"PWS1686285820428","49865"
"FDI1698346162808","30775"
"AUC8347813553296","28513"
"VBE7540536523411","9268"
"DIO7380738626080","14101"
"CIK9780532204404","12602"
"PWS1684911516896","41813"
"AUC6004259769941","46512"
"QQM1690795014035","43790"
"FDI7388290447600","12602"
"HAO6782030993494","9808"
"AKO7864350101397","14680"
"HAO6779576357767","5662"
"AUC0785986786031","46512"
"DRF1696365937562","11221"
"ROK1685346034890","29854"
"LVL2007959725532","11221"
"AUC2008436933983","17114"
"MOT1690772088306","49865"
"FDI1685809244480","48303"
"AKO7731039465722","32161"
"AZK2008363320818","46512"
"YWE9482325137622","18298"
"AUC2008621011724","12602"
"AUC3701613715806","49338"
"AZK2008808804088","46512"
"GOT1686899733209","34620"
"PWS1688010085769","49865"
"AUC1696596415445","45777"
"AUC4025621836643","30775"
"ATY1699103400145","11221"
"HAO6715898397166","12022"
"QQM1689837096997","49865"
"DRF1696801726897","3466"
"ZJC7684928756879","46512"
"QQM1684833680876","49865"
"DUO2007817788501","11221"
"DEL4251943874562","12602"
"AZK2008542404377","46512"
"AUC9586488784072","11221"
"OVO6257136847977","32161"
"AUC4267887862879","45933"
"INS3663556351162","7057"
"AUC2008413762674","46512"
"AUC8716085345319","28513"
"SUR2008683037861","46512"
"DRF7681993607808","9268"
"HAO6726887361877","29854"
"HAO6710762389858","29854"
"HAO6770312755571","9808"
"HAO6745000015442","1164"
"VID7380362483783","45933"
"FDI7063372538826","14101"
"VBE2008063232367","46512"
"AUC9999900677720","12602"
"LIS3701061727840","12945"
"OVO4208706803253","36124"
"HEV3700837612625","23842"
"VEN3517920861361","41813"
"GOT1700538393649","14101"
"FDI7063372538871","14101"
"VGE1686536551061","14101"
"OVO8001770961685","41813"
"AUC3021881764123","32309"
"AUC3021881764536","17114"
"ITA3663556333724","33866"
"ARA9145831023147","46512"
"KEE1685815741946","48303"
"HON6260250575435","34620"
"AUC2008424572545","11221"
"LIS1690372947806","5893"
"DRF1696532142553","17620"
"OVO8001770964044","28513"
"AKO7864350673016","41813"
"AUC2008481682881","17114"
"VEN3517920952656","10283"
"VEN3517920858378","12602"
"AUC3537618097742","32161"
"FDI2007840355879","11221"
"INS3663556151748","25274"
"KEX6765153143182","5662"
"VID8720286710470","45391"
"MIC5903614343523","11489"
"TMI7019284338788","11221"
"AUC5099622615025","45933"
"DIO1689611229668","40959"
"AUC3664470052470","12602"
"ASH7628921933011","43814"
"EST1696360614185","23842"
"ROK7387696160991","46512"
"VEN3666471042771","45582"
"INS2008586544275","18128"
"DRF1696612085911","14101"
"MAI3701030501105","12602"
"ATY1698790312718","17620"
"AUC3643213228143","17114"
"OMA7388441195138","3817"
"AUC2009150581825","34249"
"OVO8001770961333","28513"
"RIL3573213294865","11221"
"VEN3517920909612","41813"
"VEN3517920802180","11221"
"ALO7864351719300","32309"
"ZER1690284585347","11221"
"ZER1696167398016","30775"
"AUC4069787638680","17114"
"VBE1698045023195","30775"
"AUC7307162092441","17114"
"AUC1695663445831","46512"
"YOS0966479780075","35839"
"ARA9386400416858","17114"
"ZJC1698258674842","42927"
"ATY1686724694693","14101"
"DRF9424139460671","11221"
"REN3701324509107","45582"
"AUC4741789010625","17114"
"HAO6767200481322","5662"
"AUC2008411966531","46512"
"LVL2007997221119","28513"
"AUC1695647072710","46512"
"AUC7080283976554","32161"
"AUC9112567460546","39142"
"OVO6436872712811","22208"
"AUC8052773595049","18128"
"FAM0755559366632","30827"
"VEN1689121752456","12602"
"OVO3645907993832","45933"
"VID8720286710012","45391"
"ZJC7434408696665","14101"
"EME1690796280405","27790"
"AUC7353970261272","17114"
"DIL7842690289852","14101"
"HUR2008093982584","17114"
"MIC5903614642015","7680"
"DRF1698309404204","23763"
"INS3700732973012","5914"
"DEL4250809392738","32309"
"AUC2008919266102","45933"
"AUC9189449933832","41813"
"PWS1688010340927","49865"
"AUC2008478870666","11221"
"AUC5413042640793","39142"
"FAF7597546039616","46512"
"VID0739879716193","41813"
"AUC9189449933801","41813"
"EME1690796378351","27790"
"FYD1685432374843","9268"
"CIK9193097805519","45933"
"INS3663556466897","12602"
"FYD1698091494433","32309"
"DRF7617411405190","14101"
"KEE1696030207540","40959"
"XJY0699957213535","9536"
"AKO1695633086286","35448"
"DUO2007817785159","41813"
"AUC9424136095777","45933"
"BEL4251682237581","24315"
"EST7750117862659","30775"
"INS3663556136462","5914"
"CIK1685212624966","18298"
"FUN1692080295623","5662"
"ITO9054090359143","6893"
"AUC3021881767377","14680"
"OVI3663095048899","45582"
"AUC1692522120709","16966"
"MET0714131066780","46512"
"MIS4669465971872","46512"
"YOS0966479780433","35839"
"AUC9056571475328","41813"
"FAF7902195955536","3466"
"OVO8001770966857","17114"
"QQM1689581980415","41813"
"ZER1690322814307","11221"
"KIM1689147928260","29854"
"SAL7375281178711","49865"
"GOG0755793602497","46512"
"WIL3662556501027","45582"
"AUC8858854106056","41813"
"AZK2008808805177","46512"
"YOS1686838988985","18298"
"VID8718475976660","32161"
"FAM0755559369213","37127"
"DRF7617411946341","42480"
"HAO6712491419943","31351"
"FDI1698486601374","30775"
"DRF1696725484909","14101"
"CUQ2008080583039","40959"
"ARA9586485989845","41813"
"ROK1685340054625","29854"
"PWS1688554878337","17114"
"SAL7375281011711","49865"
